group	chrom	total_SVs	num_DEL	num_DUP	num_INV	num_INS	num_BND	median_sv_len	mean_sv_len	max_sv_len	min_sv_len
case_DRAGEN	10	638623	227153	1790	0	317323	92357	102.0	2175.2777828219473	2151387.0	1.0
case_DRAGEN	11	645761	215991	2683	0	328598	98489	95.0	15653.9545762475	64374211.0	1.0
case_DRAGEN	12	669670	213548	4019	0	338432	113671	89.0	1695.2343805429675	21853915.0	1.0
case_DRAGEN	13	572705	178086	2209	0	273589	118821	80.0	605.2058215609933	1050295.0	1.0
case_DRAGEN	14	375848	139094	1297	0	184062	51395	98.0	687.1127403127801	594214.0	1.0
case_DRAGEN	15	355618	125289	508	0	175658	54163	94.0	531.8793950598192	1010220.0	1.0
case_DRAGEN	16	381366	123513	1762	0	160474	95617	72.0	1540.4523545161633	9503762.0	1.0
case_DRAGEN	17	436712	157014	2790	0	203243	73665	95.0	8926.63575568435	4956788.0	1.0
case_DRAGEN	18	384142	139978	1206	0	185273	57685	97.0	338.55726998247167	1744832.0	1.0
case_DRAGEN	19	409639	137560	2183	0	199968	69928	93.0	467.3151862377372	1529749.0	1.0
case_DRAGEN	1	1026503	337909	1544	0	524672	162378	91.0	980.9955872434036	125949928.0	1.0
case_DRAGEN	20	396654	112942	2554	0	187402	93756	82.0	3043.23163445684	15376708.0	1.0
case_DRAGEN	21	235695	80762	413	0	126902	27618	83.0	304.8500306637523	1930536.0	1.0
case_DRAGEN	22	241784	81768	407	0	128798	30811	97.0	492.06785985764634	827835.0	1.0
case_DRAGEN	2	1014179	372918	3320	0	476929	161012	88.0	556.3417286932605	4627398.0	1.0
case_DRAGEN	3	785981	279802	3814	0	375942	126423	88.0	68099.09776536313	54676908.0	1.0
case_DRAGEN	4	822819	357111	2017	0	380008	83683	108.0	742.5893585052158	71922341.0	1.0
case_DRAGEN	5	759907	303165	2482	0	312333	141927	88.0	727.3580966765966	8547304.0	1.0
case_DRAGEN	6	840116	311003	2312	0	425097	101704	106.0	5223.952981989092	2874831.0	1.0
case_DRAGEN	7	818828	322968	1898	0	375797	118165	93.0	3761.241787066767	81594529.0	1.0
case_DRAGEN	8	619649	249719	1610	0	303793	64527	107.0	811.9079885594765	32525395.0	1.0
case_DRAGEN	9	552467	191283	1215	0	297261	62708	102.0	3925.0379515307745	91228980.0	1.0
case_DRAGEN	X	492635	181735	2870	0	234798	73232	88.0	683.5720702795999	19222206.0	1.0
case_DRAGEN	Y	2718	1	0	0	0	2717	1.0	1.0338484179543783	93.0	1.0
gnomAD	10	96755	55825	12564	92	13719	13856	509.0	373106.48179422255	130182128.0	1.0
gnomAD	11	95690	55968	12357	98	13832	12720	544.0	279009.8611976173	127338873.0	1.0
gnomAD	12	97655	56554	12045	114	14667	13633	533.0	596739.4310378373	131465502.0	1.0
gnomAD	13	63839	36545	8104	88	11358	7213	504.0	192601.17661617507	79483933.0	1.0
gnomAD	14	67004	37189	7909	62	10197	11211	575.0	366461.7506865262	85390328.0	1.0
gnomAD	15	56021	33572	6917	48	8691	6367	567.0	240017.67895967583	74106914.0	1.0
gnomAD	16	70635	44427	10197	54	6937	8559	594.0	277534.09615629644	89418850.0	1.0
gnomAD	17	70925	45471	9627	56	8025	7274	583.0	244166.79932322877	79350639.0	1.0
gnomAD	18	48740	29442	6370	31	8458	4094	524.0	132145.69952810832	77932643.0	1.0
gnomAD	19	68905	45943	9184	46	5125	8203	615.0	158779.7360133517	58338230.0	1.0
gnomAD	1	182804	93694	20432	177	24111	43005	432.0	1049921.1940329534	248764673.0	1.0
gnomAD	20	45724	28917	6408	55	6349	3690	560.0	112822.6698014172	60880407.0	1.0
gnomAD	21	32630	19629	5106	33	4177	3467	514.0	76755.18069261416	39354625.0	1.0
gnomAD	22	33812	21948	5198	16	3415	3009	569.0	87915.67582515083	30553306.0	1.0
gnomAD	2	183107	91973	21110	163	26501	41895	408.0	1099123.7707624503	242173089.0	1.0
gnomAD	3	141594	73613	15293	165	21969	29516	425.0	799425.6492436121	198163002.0	1.0
gnomAD	4	134912	70137	15049	178	22151	26283	399.0	749332.3292220114	190194375.0	1.0
gnomAD	5	126586	67771	14653	151	19792	23190	445.0	515256.6988687533	173812951.0	1.0
gnomAD	6	125746	66937	14391	158	19431	23876	471.0	561574.4755538944	167069190.0	1.0
gnomAD	7	131866	72548	17071	136	17509	23606	527.0	604837.5692521196	154796128.0	1.0
gnomAD	8	101224	56780	12042	115	15611	15897	467.0	322175.797261519	134193775.0	1.0
gnomAD	9	87748	50431	11129	90	12578	12938	528.0	359564.64284086245	137140451.0	1.0
gnomAD	X	78076	47239	12811	66	9760	7489	618.0	775573.555945489	156009866.0	1.0
gnomAD	Y	12488	3725	3359	1	282	5044	5395.0	1935600.9394618832	46173852.0	50.0
